"ID_AUTOR,IMIE,NAZWISKO,DATA_URODZENIA"
"1,Andrzej,Sapkowski,1948-06-21"
"2,Henryk,Sienkiewicz,1846-05-05"
"3,Bolesław,Prus,1847-08-20"
"4,Adam,Mickiewicz,1798-12-24"
"5,Aleksander,Fredro,1793-06-20"
"6,Adam,Mickiewicz,1798-12-24"
"7,Witold,Gombrowicz,1904-08-04"
"8,Eliza,Orzeszkowa,1841-06-06"
"9,Władysław,Reymont,1867-05-07"
"10,Stanisław,Witkiewicz,1851-02-08"
